X,RID,ID,PC1,PC2,PC3,PC4,PC5
1,3,3,-0.0127695,0.00474681,-0.000854753,0.0132332,-0.00460476
5,4,4,0.0147502,-0.0349961,0.00712465,0.0064491,0.0078026
10,5,5,-0.00748919,-0.00695629,-0.00575735,-0.00662929,-0.00297471
15,6,6,-0.00880493,0.0044545,-0.00244278,0.00155089,0.000951841
21,8,8,-0.00675603,0.00105529,-0.00305772,0.00330131,0.00741054
26,10,10,-0.00765625,0.00650669,0.001602,0.00649776,-0.00994299
30,14,14,0.0232771,-0.0823699,0.00553383,0.0215236,0.0167489
35,15,15,0.0489241,0.0109997,-0.00496064,0.00825885,0.00527865
40,19,19,-0.00809407,0.00296077,-0.00436304,-0.0195292,-0.00144674
44,29,29,-0.0113203,-0.00123541,-0.0150358,-0.0062353,0.00801649
48,30,30,-0.0100678,-0.00387665,0.0086725,0.00107166,-0.000358231
54,31,31,-0.00591399,-0.000368815,0.00608245,0.00563138,0.00830746
60,33,33,0.0429538,0.00323119,-0.00640023,0.00214436,0.0047931
66,35,35,-0.00886448,0.00262519,-0.00048036,-0.000870621,-0.0019502
71,38,38,0.00870636,-0.00313191,0.00391256,-0.0300824,-0.0135645
74,40,40,-0.00732531,-0.000500252,0.0122691,-0.0119097,-0.0259926
79,41,41,-0.00913287,-1.53E-05,0.00163495,0.00605376,0.00286922
86,42,42,-0.0071695,0.00106703,-0.000726555,0.00595483,0.00636158
93,43,43,-0.0051641,0.000284262,-0.00383756,-0.0077281,-0.00229812
98,44,44,-0.0121504,0.00144756,-0.0137543,0.000457691,-0.00139803
101,45,45,0.0189566,0.00468359,-0.0093867,-0.00899989,-0.0213948
104,47,47,-0.0075061,0.00366982,-0.00369856,-0.00529174,0.0107624
109,50,50,-0.00449174,0.00382688,0.00588823,0.0122783,0.000947251
115,51,51,-0.00858367,0.000270838,0.0113446,0.00371487,-0.0229923
121,53,53,-4.14E-05,0.00107378,-0.0079117,-0.0123338,0.00915478
125,54,54,-0.0106219,0.00371094,0.00577848,0.0021455,-0.027573
131,55,55,-8.02E-05,0.000375867,0.00505263,-0.02195,0.00157837
135,57,57,-0.00610796,0.00204527,-0.00251548,0.000537304,0.00517845
141,58,58,-0.00704546,0.00629616,-0.00266644,0.00776403,-0.000386249
147,60,60,-0.00841125,0.00304535,0.00125575,0.00388715,0.00217572
151,66,66,0.0408304,0.00275898,-0.00125911,0.0141948,-0.00302926
156,67,67,0.044364,0.00864263,-0.00579702,0.0113156,-0.00134817
160,68,68,-0.0112119,0.00155055,-0.0175763,-0.0222064,0.00103342
166,69,69,-0.00872853,-0.00370134,-0.000906866,0.00585852,0.0010224
171,70,70,-0.00406398,-0.000816958,-0.000552419,0.00244999,0.00156913
174,72,72,0.0253454,-0.0128534,0.0285306,-0.00712427,0.0148149
179,74,74,-0.00729407,0.00577067,0.00119679,-0.000136933,-0.00432467
185,76,76,-0.0074441,-0.000594702,-0.0165005,-0.0273528,-0.00441446
189,78,78,-0.00823651,0.00172172,0.00224234,0.00731465,0.00424049
193,80,80,0.00760403,-0.00102096,0.00388789,-0.0215327,0.00565149
199,81,81,-0.00601159,0.00665245,0.0040569,-0.00274626,-0.00143823
205,83,83,-0.00746846,-0.00263344,-0.00110199,0.00320017,0.00105556
209,84,84,-0.00661498,-0.00415271,-0.00148927,0.001773,0.000677099
215,86,86,-0.0059322,-0.000724606,-0.00232328,0.0108447,0.00624163
220,87,87,-0.00554939,0.00282767,-0.00175791,-0.0141716,0.00457809
224,88,88,-0.00711855,-0.000157071,0.0010166,0.00235069,-0.00441263
228,89,89,0.0413187,0.00450192,-0.000759294,-0.00170776,-0.0175944
233,90,90,-0.00715805,-0.000676912,0.00614033,0.00144873,-0.0201381
238,91,91,-0.00835486,0.00619518,-0.0145167,-0.0275566,-0.00398035
242,93,93,-0.00845495,-0.000102128,0.0031942,-0.00232409,0.008243
248,94,94,-0.00344872,-0.00379085,0.00142393,0.00202626,0.00381467
252,95,95,-0.00606844,0.00397897,-0.00174568,0.00077434,-0.00289484
256,96,96,-0.00892418,-0.00244434,-0.00136007,0.00626051,0.00414111
262,97,97,-0.00950209,0.000970877,0.00598828,0.00800305,-0.00637121
267,98,98,0.0409078,0.00458011,0.0019455,0.0011733,-0.0185535
272,101,101,-0.00615692,-0.00105806,-0.00243314,-0.00506339,0.0122743
279,102,102,-0.010481,0.007448,0.00148101,0.00879747,-0.000468773
285,103,103,-0.0111177,0.00243515,-0.0122367,-0.00634441,0.00270082
287,106,106,-0.00930362,-0.00168698,-0.00485841,0.012393,-0.00683568
292,107,107,-0.00378189,0.0032539,0.0147466,-0.00531757,-0.00266529
298,108,108,-0.00528023,0.000593333,0.00327727,-6.87E-05,0.00116651
304,109,109,-0.00821775,0.00504379,0.00065988,-0.000360466,-0.00233511
308,110,110,0.0164699,-0.00614565,0.0225121,-0.0204635,0.0107249
312,111,111,-0.00867483,-0.000183346,0.00367382,-0.000600536,-0.016638
315,112,112,-0.00784663,0.000559541,-0.00347136,0.00294772,0.00681656
322,113,113,-0.0067554,-0.00734556,-0.00260775,-0.000731842,0.00612052
327,116,116,0.0434842,0.00987168,-0.0146262,0.00752449,0.00418883
334,118,118,-0.00518748,0.000954708,-0.00210365,-0.0270527,0.00845989
340,120,120,0.0207546,0.00509752,-0.00398332,-0.00206039,-0.000237986
346,123,123,0.0429382,-0.00413262,-7.02E-05,-0.00057807,0.00813805
352,125,125,-0.011624,-0.00281754,0.00250098,0.0102105,-0.00509567
358,126,126,-0.010191,0.00248345,0.000631348,0.000475768,0.00695409
365,127,127,0.0430341,0.00997889,0.00934345,-0.0106046,-0.025972
371,128,128,-0.0132444,0.00694638,-0.00736318,-0.00138215,0.00413402
378,129,129,-0.00991739,0.00249777,-0.0114592,-0.0100717,0.00361808
382,130,130,0.0452891,0.00943955,-0.0136303,0.00808781,-0.00350697
388,135,135,-0.00841656,2.94E-05,-0.00654523,-0.00220542,0.00970544
394,138,138,-0.00526295,0.00088298,0.00493907,0.0056708,0.00501215
398,139,139,-0.00858963,0.00236161,-0.00466987,0.00439996,-0.0011333
404,141,141,-0.0109359,0.00255229,-0.00133448,0.00496411,-0.00324116
411,142,142,-0.00728359,0.00273623,-0.00566263,-0.00814779,0.000235939
417,147,147,-0.00965493,0.00344263,-0.0016207,0.00889859,0.00252411
421,149,149,-0.0071502,-0.000892082,0.00363484,-0.0065898,-0.00096785
425,150,150,-0.00778846,0.00229051,0.00284166,-0.00470487,0.00372578
431,155,155,-0.00609211,-0.00193881,0.00272296,0.00625871,0.00731722
437,156,156,-0.00600416,-0.00281801,-0.0070566,-0.00818237,0.00286844
443,158,158,-0.00687306,0.0010457,0.00181341,0.00164599,0.00293714
448,159,159,-0.00897309,-0.00152135,-0.00126203,0.00378733,-0.00121789
454,160,160,-0.0115839,0.00469932,-0.00448071,0.0036029,-0.0185475
461,162,162,-0.0072331,-0.0011437,0.0099482,0.00319757,0.00579892
465,166,166,-0.00373561,-0.00404991,-0.00271843,-0.00559152,0.00375774
470,167,167,-0.00957683,0.00156562,-0.0135965,-0.0165061,0.00174367
474,168,168,-0.00552104,-3.55E-05,0.00217291,-0.00570971,0.00251022
476,169,169,-0.000965583,0.00117033,0.00521653,-0.00791192,0.00118787
483,171,171,0.0430039,0.00985835,-0.00122663,-0.000886772,-0.0216926
489,172,172,-0.00731119,-0.00064213,0.00320265,0.00761096,0.00533062
495,173,173,-0.00811073,0.0022362,-0.0020348,0.000173724,0.00293903
500,176,176,-0.00978944,-0.00242161,-0.00649046,0.00168688,-0.00188842
505,177,177,0.0438674,0.00587993,0.0108412,0.00465776,-0.0199906
509,178,178,0.0418928,0.00648149,-0.00363058,0.0110967,-0.00623465
516,179,179,-0.00756196,-0.00338394,0.00540531,0.00174626,0.006761
522,182,182,-0.00637529,0.00530808,-0.00369351,0.00609402,-3.35E-05
526,183,183,-0.00420158,0.000549191,0.00588085,-0.00653006,-0.00383168
530,184,184,-0.0070519,0.00530826,-0.00249632,0.00963489,0.00396726
535,186,186,-0.00902053,0.000594923,0.00683022,0.0070155,-0.00291256
541,187,187,0.0420472,0.0075114,-0.00370362,-0.00128402,0.000973892
546,188,188,-0.007742,-0.00631782,-0.00514023,0.00469426,0.00704773
552,190,190,-0.010889,0.00203248,-0.00197921,-0.00310804,0.00279917
557,194,194,0.0279625,-0.0103554,0.021507,-0.0112411,0.0196718
